prob_21	r=0.779	bigleft obj=1463033	freespan -3.4%	cornerBest +8.3%
prob_22	r=0.525	bigleft obj=1958140	freespan -9.6%	cornerBest +7.9%
prob_23	r=0.859	bigleft obj=3174429	freespan +2.3%	cornerBest -0.4%
prob_24	r=0.602	bigleft obj=1246567	freespan +16.4%	cornerBest +10.3%
prob_25	r=1.285	bigleft obj=318659	freespan +7.9%	cornerBest +14.5%
prob_26	r=1.000	bigleft obj=9187734	freespan +6.3%	cornerBest +18.3%
prob_28	r=0.878	bigleft obj=2802735	freespan +3.3%	cornerBest +3.6%
prob_30	r=0.903	bigleft obj=3617004	freespan -10.0%	cornerBest +9.2%
prob_29	r=0.550	bigleft obj=2074203	freespan -1.2%	cornerBest -2.5%
prob_38	r=1.572	bigleft obj=37825961	freespan -3.2%	cornerBest +2.2%
=== DONE ===
